"Step","distinctive-haze-3 - predict_error0.01","distinctive-haze-3 - predict_error0.01__MIN","distinctive-haze-3 - predict_error0.01__MAX"
"0","0.00007920248597396003","0.00007920248597396003","0.00007920248597396003"
"1","0.000138245475301255","0.000138245475301255","0.000138245475301255"
"2","0.00017353803642339977","0.00017353803642339977","0.00017353803642339977"
"3","0.00035381162448649864","0.00035381162448649864","0.00035381162448649864"
"4","0.0004288654747158714","0.0004288654747158714","0.0004288654747158714"
"5","0.0004768040858825792","0.0004768040858825792","0.0004768040858825792"
"6","0.0006637655847720855","0.0006637655847720855","0.0006637655847720855"
"7","0.0008229707416897527","0.0008229707416897527","0.0008229707416897527"
"8","0.0010122947036620001","0.0010122947036620001","0.0010122947036620001"
"9","0.0012289317267862496","0.0012289317267862496","0.0012289317267862496"
"10","0.0012338387582063537","0.0012338387582063537","0.0012338387582063537"
"11","0.0012033761535238622","0.0012033761535238622","0.0012033761535238622"
"12","0.0011722506250860581","0.0011722506250860581","0.0011722506250860581"
"13","0.001142001622020709","0.001142001622020709","0.001142001622020709"
"14","0.0013589076470259826","0.0013589076470259826","0.0013589076470259826"
"15","0.0016148792251918648","0.0016148792251918648","0.0016148792251918648"
"16","0.0017548077296803276","0.0017548077296803276","0.0017548077296803276"
"17","0.0016657467526461104","0.0016657467526461104","0.0016657467526461104"
"18","0.0015686478537995934","0.0015686478537995934","0.0015686478537995934"
"19","0.0015129632171589633","0.0015129632171589633","0.0015129632171589633"
"20","0.00171664617136948","0.00171664617136948","0.00171664617136948"
"21","0.002344596491452576","0.002344596491452576","0.002344596491452576"
"22","0.003555203744643347","0.003555203744643347","0.003555203744643347"
"23","0.0032517882061483465","0.0032517882061483465","0.0032517882061483465"
"24","0.0027870131106216443","0.0027870131106216443","0.0027870131106216443"
"25","0.0024366132381120576","0.0024366132381120576","0.0024366132381120576"
"26","0.002155080799352392","0.002155080799352392","0.002155080799352392"
"27","0.0019798504931814605","0.0019798504931814605","0.0019798504931814605"
"28","0.0017676453297002274","0.0017676453297002274","0.0017676453297002274"
"29","0.001563476313530448","0.001563476313530448","0.001563476313530448"
"30","0.0014173196893305815","0.0014173196893305815","0.0014173196893305815"
"31","0.0012697601874736221","0.0012697601874736221","0.0012697601874736221"
"32","0.0011539529094790235","0.0011539529094790235","0.0011539529094790235"
"33","0.0011108581847519372","0.0011108581847519372","0.0011108581847519372"
"34","0.001050799691292604","0.001050799691292604","0.001050799691292604"
"35","0.0010600891570194835","0.0010600891570194835","0.0010600891570194835"
"36","0.0009845864002162143","0.0009845864002162143","0.0009845864002162143"
"37","0.0010261918195452685","0.0010261918195452685","0.0010261918195452685"
"38","0.0010555489647762185","0.0010555489647762185","0.0010555489647762185"
"39","0.0009161124905322679","0.0009161124905322679","0.0009161124905322679"
"40","0.0008524281183752154","0.0008524281183752154","0.0008524281183752154"
"41","0.0007924601112292087","0.0007924601112292087","0.0007924601112292087"
"42","0.0008104635345247748","0.0008104635345247748","0.0008104635345247748"
"43","0.0007574440120444807","0.0007574440120444807","0.0007574440120444807"
"44","0.0007103763698614435","0.0007103763698614435","0.0007103763698614435"
"45","0.0006780446909492801","0.0006780446909492801","0.0006780446909492801"
"46","0.0009320863503931482","0.0009320863503931482","0.0009320863503931482"
"47","0.00114496076111753","0.00114496076111753","0.00114496076111753"
"48","0.0018631747692059684","0.0018631747692059684","0.0018631747692059684"
"49","0.0019086869387129725","0.0019086869387129725","0.0019086869387129725"
"50","0.0024813368910884853","0.0024813368910884853","0.0024813368910884853"
"51","0.002327893470713465","0.002327893470713465","0.002327893470713465"
"52","0.0020526680527076513","0.0020526680527076513","0.0020526680527076513"
"53","0.001895165781566403","0.001895165781566403","0.001895165781566403"
"54","0.0016942841836573661","0.0016942841836573661","0.0016942841836573661"
"55","0.001518203481251783","0.001518203481251783","0.001518203481251783"
"56","0.0016762039340650877","0.0016762039340650877","0.0016762039340650877"
"57","0.0014803487243864335","0.0014803487243864335","0.0014803487243864335"
"58","0.0013472839006212706","0.0013472839006212706","0.0013472839006212706"
"59","0.0012531696424204367","0.0012531696424204367","0.0012531696424204367"
"60","0.001163376957932224","0.001163376957932224","0.001163376957932224"
"61","0.0011325459497449114","0.0011325459497449114","0.0011325459497449114"
"62","0.0013426434572507257","0.0013426434572507257","0.0013426434572507257"
"63","0.0013262283820481401","0.0013262283820481401","0.0013262283820481401"
"64","0.0014987629086437699","0.0014987629086437699","0.0014987629086437699"
"65","0.001369052384520474","0.001369052384520474","0.001369052384520474"
"66","0.0018127961625939266","0.0018127961625939266","0.0018127961625939266"
"67","0.0015724635213598733","0.0015724635213598733","0.0015724635213598733"
"68","0.0014309930998583958","0.0014309930998583958","0.0014309930998583958"
"69","0.0013079347634159199","0.0013079347634159199","0.0013079347634159199"
"70","0.001315944430189536","0.001315944430189536","0.001315944430189536"
"71","0.0012888424442160794","0.0012888424442160794","0.0012888424442160794"
"72","0.0011769260690982135","0.0011769260690982135","0.0011769260690982135"
"73","0.001092057006642137","0.001092057006642137","0.001092057006642137"
"74","0.0009933875569785745","0.0009933875569785745","0.0009933875569785745"
"75","0.0009525970871174184","0.0009525970871174184","0.0009525970871174184"
"76","0.0009076361609182332","0.0009076361609182332","0.0009076361609182332"
"77","0.0009290110179357859","0.0009290110179357859","0.0009290110179357859"
"78","0.0008395200951946885","0.0008395200951946885","0.0008395200951946885"
"79","0.0011294754993175719","0.0011294754993175719","0.0011294754993175719"
"80","0.0013163327472460685","0.0013163327472460685","0.0013163327472460685"
"81","0.001929901948086334","0.001929901948086334","0.001929901948086334"
"82","0.0017678144846869658","0.0017678144846869658","0.0017678144846869658"
"83","0.001649754372750313","0.001649754372750313","0.001649754372750313"
"84","0.0015596152336026176","0.0015596152336026176","0.0015596152336026176"
"85","0.0015104511106031123","0.0015104511106031123","0.0015104511106031123"
"86","0.001325897402909343","0.001325897402909343","0.001325897402909343"
"87","0.0011906059910745492","0.0011906059910745492","0.0011906059910745492"
"88","0.0011338366185865716","0.0011338366185865716","0.0011338366185865716"
"89","0.0010070019463895247","0.0010070019463895247","0.0010070019463895247"
"90","0.0009879559856590169","0.0009879559856590169","0.0009879559856590169"
"91","0.0009975103475819457","0.0009975103475819457","0.0009975103475819457"
"92","0.0009326800087134221","0.0009326800087134221","0.0009326800087134221"
"93","0.0016082266049693896","0.0016082266049693896","0.0016082266049693896"
"94","0.0014106719516394119","0.0014106719516394119","0.0014106719516394119"
"95","0.001948582338785834","0.001948582338785834","0.001948582338785834"
"96","0.001701914493180154","0.001701914493180154","0.001701914493180154"
"97","0.003176301420031033","0.003176301420031033","0.003176301420031033"
"98","0.0030337054642158513","0.0030337054642158513","0.0030337054642158513"
"99","0.002720241360406492","0.002720241360406492","0.002720241360406492"
"100","0.002339656894834357","0.002339656894834357","0.002339656894834357"
"101","0.0019981650109854596","0.0019981650109854596","0.0019981650109854596"
"102","0.0016424043215761447","0.0016424043215761447","0.0016424043215761447"
"103","0.0015328629795358345","0.0015328629795358345","0.0015328629795358345"
"104","0.0012826269422506152","0.0012826269422506152","0.0012826269422506152"
"105","0.0012122848366476987","0.0012122848366476987","0.0012122848366476987"
"106","0.0012597037366702108","0.0012597037366702108","0.0012597037366702108"
"107","0.0012389885105134788","0.0012389885105134788","0.0012389885105134788"
"108","0.0011210908065777884","0.0011210908065777884","0.0011210908065777884"
"109","0.0010270557513688302","0.0010270557513688302","0.0010270557513688302"
"110","0.0011274919155332482","0.0011274919155332482","0.0011274919155332482"
"111","0.001019555744184189","0.001019555744184189","0.001019555744184189"
"112","0.0009291948491070657","0.0009291948491070657","0.0009291948491070657"
"113","0.000824874832532034","0.000824874832532034","0.000824874832532034"
"114","0.0007512890219718877","0.0007512890219718877","0.0007512890219718877"
"115","0.0006984290658549398","0.0006984290658549398","0.0006984290658549398"
"116","0.0006812376452907916","0.0006812376452907916","0.0006812376452907916"
"117","0.0006490485186314076","0.0006490485186314076","0.0006490485186314076"
"118","0.0006367288414616454","0.0006367288414616454","0.0006367288414616454"
"119","0.00069154506511066","0.00069154506511066","0.00069154506511066"
"120","0.0008679615634758541","0.0008679615634758541","0.0008679615634758541"
"121","0.0011636443960502164","0.0011636443960502164","0.0011636443960502164"
"122","0.00190723191355791","0.00190723191355791","0.00190723191355791"
"123","0.002006443509091729","0.002006443509091729","0.002006443509091729"
"124","0.0018053635408106742","0.0018053635408106742","0.0018053635408106742"
"125","0.0019437860979898062","0.0019437860979898062","0.0019437860979898062"
"126","0.0016694520000377045","0.0016694520000377045","0.0016694520000377045"
"127","0.0014905674901232295","0.0014905674901232295","0.0014905674901232295"
"128","0.0015116160419733312","0.0015116160419733312","0.0015116160419733312"
"129","0.0013370876905242125","0.0013370876905242125","0.0013370876905242125"
"130","0.0011909755369583028","0.0011909755369583028","0.0011909755369583028"
"131","0.0010998687365106187","0.0010998687365106187","0.0010998687365106187"
"132","0.0010494680966559094","0.0010494680966559094","0.0010494680966559094"
"133","0.0009226043278651641","0.0009226043278651641","0.0009226043278651641"
"134","0.0009110956691313478","0.0009110956691313478","0.0009110956691313478"
"135","0.000925261341281949","0.000925261341281949","0.000925261341281949"
"136","0.0013558970807774357","0.0013558970807774357","0.0013558970807774357"
"137","0.001627501623806746","0.001627501623806746","0.001627501623806746"
"138","0.0020893258128063604","0.0020893258128063604","0.0020893258128063604"
"139","0.0029104689897090944","0.0029104689897090944","0.0029104689897090944"
"140","0.0030974775167728584","0.0030974775167728584","0.0030974775167728584"
"141","0.0027446620298557044","0.0027446620298557044","0.0027446620298557044"
"142","0.0022428430018577063","0.0022428430018577063","0.0022428430018577063"
"143","0.0018944495863715918","0.0018944495863715918","0.0018944495863715918"
"144","0.0016740458075566345","0.0016740458075566345","0.0016740458075566345"
"145","0.0014145903862343087","0.0014145903862343087","0.0014145903862343087"
"146","0.0014451343938614706","0.0014451343938614706","0.0014451343938614706"
"147","0.0012980367403792198","0.0012980367403792198","0.0012980367403792198"
"148","0.001477926422279051","0.001477926422279051","0.001477926422279051"
"149","0.0015184613128357467","0.0015184613128357467","0.0015184613128357467"
"150","0.0016788398548379675","0.0016788398548379675","0.0016788398548379675"
"151","0.0016333099890464846","0.0016333099890464846","0.0016333099890464846"
"152","0.0017151165385347537","0.0017151165385347537","0.0017151165385347537"
"153","0.0019077613881710415","0.0019077613881710415","0.0019077613881710415"
"154","0.00177455303190285","0.00177455303190285","0.00177455303190285"
"155","0.0015009817150972184","0.0015009817150972184","0.0015009817150972184"
"156","0.0012777147955463817","0.0012777147955463817","0.0012777147955463817"
"157","0.0011224591673390536","0.0011224591673390536","0.0011224591673390536"
"158","0.0010214988933495007","0.0010214988933495007","0.0010214988933495007"
"159","0.0009244373830982612","0.0009244373830982612","0.0009244373830982612"
